"","NFR_wide.x","NFR_code","source","year","pollutant","emission","status","Code_2","NFR_wide.y","Code_3","NFR_mid","source_description"
"117","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"Cr",0.021698305488,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"118","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"Cu",0.03507806121,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"119","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"Ni",0.86193122705,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"120","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"Se",0.012456358532,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"121","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"Zn",0.189172724754,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"122","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"PCDD/ PCDF
(dioxins/ furans)",0.40538002913,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"123","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"benzo(a) pyrene",0.00014401269,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"124","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"benzo(b) fluoranthene",0.001467740214,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"125","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"benzo(k) fluoranthene",0.000996208394,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
"126","B_Industry","1A2b","Stationary combustion in manufacturing industries and construction: Non-ferrous metals",1990-01-01,"Indeno (1,2,3-cd) pyrene",0.000754903558,"Historic","1A","Fuel Combustion Activities","1A2","Manufacturing Industries and Construction","Stationary combustion in manufacturing industries and construction: Non-ferrous metals"
